id,label,modelId:id,groupId:id,permRead,permWrite,permCreate,permUnlink
access_account_cash_rounding_readonly,account.cash.rounding,model_accountCashRounding,account.groupAccountReadonly,1,0,0,0
access_account_cash_rounding_uinvoice,account.cash.rounding,model_accountCashRounding,account.groupAccountInvoice,1,1,1,1
access_res_partner_group_account_manager,res_partner group_account_manager,base.model_resPartner,account.groupAccountManager,1,0,0,0

access_account_chart_template,account.chart.template,model_accountChartTemplate,account.groupAccountManager,1,1,1,1
access_account_fiscal_position_template,account.fiscal.position.template,model_accountFiscalPositionTemplate,account.groupAccountManager,1,1,1,1
access_account_fiscal_position_tax_template,account.fiscal.position.tax.template,model_accountFiscalPositionTaxTemplate,account.groupAccountManager,1,1,1,1
access_account_fiscal_position_account_template,account.fiscal.position.account.template,model_accountFiscalPositionAccountTemplate,account.groupAccountManager,1,1,1,1
access_product_template_account_manager,product.template.account.manager,product.model_productTemplate,account.groupAccountManager,1,1,1,1
access_account_account_template,account.account.template,model_accountAccountTemplate,account.groupAccountManager,1,1,1,1
access_account_tax_template,account.tax.template,model_accountTaxTemplate,account.groupAccountManager,1,1,1,1
access_account_tax_repartition_line_template_manager,account.tax repartition.line.template.manager,model_accountTaxRepartitionLineTemplate,account.groupAccountManager,1,1,1,1
access_account_reconcile_model_template,account.reconcile.model.template,model_accountReconcileModelTemplate,account.groupAccountManager,1,1,1,1
access_account_reconcile_model_line_template,account.reconcile.model.line.template,model_accountReconcileModelLineTemplate,account.groupAccountManager,1,1,1,1
access_account_group_template,account.group.template,model_accountGroupTemplate,account.groupAccountManager,1,1,1,1

access_res_currency_account_manager,res.currency account manager,base.model_resCurrency,groupAccountManager,1,1,1,1
access_res_currency_rate_account_manager,res.currency.rate account manager,base.model_resCurrencyRate,groupAccountManager,1,1,1,1

access_account_invoice_report_readonly,account.invoice.report_user,model_accountInvoiceReport,account.groupAccountReadonly,1,0,0,0
access_account_invoice_report_billing,account.invoice.report_billing,model_accountInvoiceReport,account.groupAccountInvoice,1,0,0,0
access_account_invoice_report,account.invoice.report,model_accountInvoiceReport,account.groupAccountManager,1,1,1,1

access_account_incoterms_all,account.incoterms all,model_accountIncoterms,,1,0,0,0
access_account_incoterms_manager,account.incoterms manager,model_accountIncoterms,account.groupAccountManager,1,1,1,1

access_account_fiscal_position_product_manager,account.fiscal.position account.manager,model_accountFiscalPosition,account.groupAccountManager,1,1,1,1
