id,label,code,userTypeId/id,chartTemplateId/id,reconcile
chart111,Cash,111,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart1111,Vietnamese Dong,1111,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart1112,Foreign currencies,1112,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart1113,Monetary Gold,1113,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart112,Cash equivalents,112,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart1121,Vietnamese Dong,1121,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart1122,Foreign currencies,1122,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart1123,Monetary Gold,1123,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart113,Cash equivalents,113,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart1131,Vietnamese Dong,1131,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart1132,Foreign currencies,1132,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart121,Held for trading Securities,121,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart1211,Shares,1211,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart1212,Bonds,1212,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart1218,Other securities and financial instruments,1218,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart122,Provision for devaluation of held for trading securities,122,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart128,Held To maturity Securities,128,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart1281,Term deposits,1281,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart1282,Bonds,1282,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart1283,Lending loans,1283,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart1288,Other held to maturity investments,1288,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart131,Trade receivables,131,account.dataAccountTypeReceivable,vnTemplate,TRUE
chart132,Trade receivables(pos),132,account.dataAccountTypeReceivable,vnTemplate,TRUE
chart133,Deductible VAT,133,account.dataAccountTypeReceivable,vnTemplate,TRUE
chart1331,VAT on purchase of goods and services,1331,account.dataAccountTypeReceivable,vnTemplate,FALSE
chart1332,VAT on purchase of fixed assets,1332,account.dataAccountTypeReceivable,vnTemplate,FALSE
