id,label,code,userTypeId/id,chartTemplateId/id,reconcile
chart111,Cash,111,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart1111,Vietnamese Dong,1111,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart1112,Foreign currencies,1112,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart1113,Monetary Gold,1113,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart112,Cash equivalents,112,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart113,Cash equivalents,113,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart121,Held for trading Securities,121,account.dataAccountTypeLiquidity,vnTemplate,FALSE
chart122,Provision for devaluation of held for trading securities,122,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart128,Held To maturity Securities,128,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart131,Trade receivables,131,account.dataAccountTypeReceivable,vnTemplate,TRUE
chart132,Trade receivables(pos),132,account.dataAccountTypeReceivable,vnTemplate,TRUE
chart133,Deductible VAT,133,account.dataAccountTypeReceivable,vnTemplate,TRUE
chart1331,VAT on purchase of goods and services,1331,account.dataAccountTypeReceivable,vnTemplate,FALSE
chart1332,VAT on purchase of fixed assets,1332,account.dataAccountTypeReceivable,vnTemplate,FALSE
chart136,Intra-company receivables,136,account.dataAccountTypeReceivable,vnTemplate,TRUE
chart138,Other receivables,138,account.dataAccountTypeReceivable,vnTemplate,TRUE
chart141,Advances,141,account.dataAccountTypeReceivable,vnTemplate,TRUE
chart151,Goods in transit,151,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart152,Raw materials,152,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart153,Tools and supplies,153,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart154,Cost for work in process,154,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart155,Finished products,155,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart156,Goods,156,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart1561,Purchase rate,1561,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart1562,Cost for purchase,1562,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart1567,Properties held for sale,1567,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
chart157,Outward goods on consignment,157,account.dataAccountTypeCurrentAssets,vnTemplate,FALSE
