id,label,modelId:id,groupId:id,permRead,permWrite,permCreate,permUnlink
access_mail_message_all,mail.message.all,model_mailMessage,,1,0,0,0
access_mail_message_portal,mail.message.portal,model_mailMessage,base.groupPortal,1,1,1,1
access_mail_message_user,mail.message.user,model_mailMessage,base.groupUser,1,1,1,1
access_mail_mail_all,mail.mail.all,model_mailMail,,0,0,0,0
access_mail_mail_portal,mail.mail.portal,model_mailMail,base.groupPortal,0,0,0,0
access_mail_mail_user,mail.mail.user,model_mailMail,base.groupUser,0,0,0,0
access_mail_mail_system,mail.mail.system,model_mailMail,base.groupSystem,1,1,1,1
access_mail_followers_all,mail.followers.all,model_mailFollowers,,0,0,0,0
access_mail_followers_user,mail.followers.user,model_mailFollowers,base.groupUser,1,0,0,0
access_mail_followers_system,mail.followers.system,model_mailFollowers,base.groupSystem,1,1,1,1
access_mail_notification_portal,mail.notification.portal,model_mailNotification,base.groupPortal,1,0,0,0
access_mail_notification_user,mail.notification.user,model_mailNotification,base.groupUser,1,1,1,0
access_mail_notification_system, mail.notification.system,model_mailNotification,base.groupSystem,1,1,1,1
access_mail_channel_all,mail.group.all,model_mailChannel,,1,0,0,0
access_mail_channel_user,mail.group.user,model_mailChannel,base.groupUser,1,1,1,0
access_mail_channel_admin,mail.group.system,model_mailChannel,base.groupSystem,1,1,1,1
access_mail_channel_partner_public,mail.channel.partner.public,model_mailChannelPartner,base.groupPublic,1,0,0,0
access_mail_channel_partner_portal,mail.channel.partner.portal,model_mailChannelPartner,base.groupPortal,1,1,1,1
access_mail_channel_partner_user,mail.channel.partner.user,model_mailChannelPartner,base.groupUser,1,1,1,1
access_mail_channel_rtc_session_all,mail.channel.rtc.session.all,model_mailChannelRtcSession,,0,0,0,0
access_mail_channel_rtc_session_system,mail.channel.rtc.session.system,model_mailChannelRtcSession,base.groupSystem,1,1,1,1
access_mail_alias_all,mail.alias.all,model_mailAlias,,1,0,0,0
access_mail_alias_user,mail.alias.user,model_mailAlias,base.groupUser,1,0,0,0
access_mail_alias_system,mail.alias.system,model_mailAlias,base.groupSystem,1,1,1,1
access_mail_message_reaction_all,mail.message.reaction.all,model_mailMessageReaction,,0,0,0,0
access_mail_message_reaction_system,mail.message.reaction.system,model_mailMessageReaction,base.groupSystem,1,1,1,1
access_mail_message_subtype_all,mail.message.subtype.all,model_mailMessageSubtype,,1,0,0,0
access_mail_message_subtype_user,mail.message.subtype.user,model_mailMessageSubtype,base.groupUser,1,1,1,1
